timestamp,k,state,T,T_pred_next,T_amb,omega,I,event
1770840948.7375314,1,RUN,25.0034,33.2617,30.5261,1160.55,12.3581,
1770840948.8399048,2,RUN,25.0067,33.2676,30.5325,1135.25,12.3514,
1770840948.9418468,3,RUN,25.0102,33.1253,30.4899,1205.60,12.6625,
1770840949.0446935,4,RUN,25.0139,33.0427,30.4932,1295.78,12.8495,
1770840949.145627,5,RUN,25.0174,33.2108,30.4502,1325.28,12.4659,
1770840949.2488446,6,RUN,25.0209,33.2560,30.4941,1321.29,12.3920,
1770840949.3504686,7,RUN,25.0244,33.2785,30.4601,1419.09,12.3302,
1770840949.453179,8,RUN,25.0280,33.1785,30.4387,1390.92,12.5431,
1770840949.5551674,9,RUN,25.0317,33.1053,30.4570,1423.94,12.7154,
1770840949.656631,10,RUN,25.0352,33.2237,30.5640,1391.43,12.5105,
1770840949.7596014,11,RUN,25.0390,33.0177,30.5234,1440.71,12.9621,
1770840949.8612478,12,RUN,25.0426,33.1664,30.5177,1373.49,12.6323,
1770840949.9623997,13,RUN,25.0464,33.0755,30.5502,1432.95,12.8496,
1770840950.0644732,14,RUN,25.0502,33.0483,30.5169,1451.53,12.8963,
1770840950.167225,15,RUN,25.0540,33.0110,30.5278,1521.24,12.9857,
1770840950.2692626,16,RUN,25.0579,33.0256,30.5618,1526.65,13.1014,
1770840950.370892,17,RUN,25.0617,33.1008,30.5934,1410.08,12.9735,
1770840950.4729679,18,RUN,25.0654,33.1087,30.5698,1358.97,12.8634,
1770840950.574861,19,RUN,25.0693,33.1575,30.6446,1289.70,13.2507,
1770840950.6774023,20,RUN,25.0731,33.1007,30.5604,1262.91,13.3158,
1770840950.7783058,21,RUN,25.0771,33.0835,30.5897,1319.81,13.6332,
1770840950.880272,22,RUN,25.0813,33.0550,30.5723,1282.82,13.9764,
1770840950.983276,23,RUN,25.0852,33.1315,30.5627,1180.76,13.5231,
1770840951.085825,24,RUN,25.0891,33.0846,30.5168,1220.54,13.5800,
1770840951.1867206,25,RUN,25.0930,33.1233,30.5513,1186.36,13.6434,
1770840951.2893858,26,RUN,25.0970,33.1494,30.5826,1161.61,13.8262,
1770840951.391123,27,RUN,25.1009,33.1622,30.5495,1132.56,13.6735,
1770840951.4918299,28,RUN,25.1048,33.1197,30.4897,1171.52,13.4857,
1770840951.5945036,29,RUN,25.1087,33.0904,30.4903,1209.98,13.6643,
1770840951.695187,30,RUN,25.1126,33.1213,30.5236,1202.10,13.4950,
1770840951.7967489,31,RUN,25.1161,33.2256,30.5196,1067.12,12.9162,
1770840951.8983445,32,RUN,25.1197,33.2494,30.4535,987.34,13.0761,
1770840952.0011032,33,RUN,25.1235,33.2303,30.4082,957.08,13.5958,
1770840952.1028004,34,RUN,25.1271,33.2022,30.3904,1016.08,13.2223,
1770840952.203629,35,RUN,25.1306,33.2552,30.3801,940.08,13.0867,
1770840952.3056622,36,RUN,25.1341,33.3566,30.4221,801.90,13.2605,
1770840952.4076312,37,RUN,25.1373,33.4073,30.4340,754.36,12.6820,
1770840952.5109484,38,RUN,25.1406,33.4341,30.4376,712.01,12.7751,
1770840952.6132362,39,RUN,25.1439,33.3621,30.4387,840.15,12.6794,
1770840952.7158237,40,RUN,25.1472,33.3359,30.3875,854.49,12.7674,
1770840952.8167093,41,RUN,25.1506,33.3178,30.4555,921.30,12.9101,
1770840952.9191406,42,RUN,25.1539,33.4099,30.5287,826.20,12.6542,
1770840953.0208476,43,RUN,25.1569,33.5801,30.4823,795.01,12.1035,
1770840953.1218152,44,RUN,25.1597,33.8325,30.5141,777.23,11.5152,
1770840953.224161,45,RUN,25.1626,33.6966,30.4633,802.32,11.8505,
1770840953.3261476,46,RUN,25.1657,33.5311,30.5631,1035.43,12.0162,
1770840953.42784,47,RUN,25.1688,33.5500,30.5137,864.86,12.1233,
1770840953.5285468,48,RUN,25.1717,33.6791,30.4730,831.63,11.8785,
1770840953.631378,49,RUN,25.1748,33.6313,30.4660,916.91,11.9413,
1770840953.7334003,50,RUN,25.1775,33.9491,30.4580,834.06,11.2714,
1770840953.8358147,51,RUN,25.1805,33.6531,30.4337,829.76,11.9786,
1770840953.9366148,52,RUN,25.1834,33.7169,30.4402,908.38,11.7789,
1770840954.039561,53,RUN,25.1862,33.8835,30.3810,831.17,11.4888,
1770840954.141565,54,RUN,25.1891,33.7286,30.4874,765.46,11.8242,
1770840954.2432065,55,RUN,25.1921,33.6553,30.4423,839.98,11.9782,
1770840954.3446157,56,RUN,25.1950,33.7737,30.4344,836.72,11.7162,
1770840954.4467382,57,RUN,25.1976,33.9917,30.4567,800.32,11.2260,
1770840954.5474608,58,RUN,25.2006,33.7345,30.3928,814.13,11.8576,
1770840954.6499534,59,RUN,25.2035,33.6873,30.4008,804.64,11.9720,
1770840954.7516124,60,RUN,25.2064,33.7366,30.4661,822.19,11.8076,
1770840954.8525043,61,RUN,25.2096,33.4469,30.5215,856.49,12.4219,
1770840954.954718,62,RUN,25.2125,33.7113,30.5306,758.53,11.8746,
1770840955.0572462,63,RUN,25.2155,33.6808,30.6132,896.42,11.8028,
1770840955.1588042,64,RUN,25.2184,33.8356,30.5940,1013.34,11.3600,
1770840955.2600837,65,RUN,25.2212,33.9230,30.5493,1064.81,11.2022,
1770840955.3624554,66,RUN,25.2241,33.8702,30.5490,1051.73,11.3372,
1770840955.463482,67,RUN,25.2271,33.7658,30.6194,1058.98,11.5948,
1770840955.5659955,68,RUN,25.2299,33.9080,30.5169,1055.08,11.2575,
1770840955.6682768,69,RUN,25.2327,34.0053,30.4559,984.83,11.1238,
1770840955.7705314,70,RUN,25.2354,34.0124,30.5017,878.72,11.1361,
1770840955.8732965,71,RUN,25.2382,33.8618,30.4775,852.50,11.5372,
1770840955.975119,72,RUN,25.2411,33.8519,30.5044,959.49,11.4754,
1770840956.0777836,73,RUN,25.2440,33.8269,30.4696,941.59,11.5724,
1770840956.1808105,74,RUN,25.2468,33.8355,30.4785,854.83,11.6086,
1770840956.2817097,75,RUN,25.2501,33.4513,30.4899,1056.23,12.3593,
1770840956.3844326,76,RUN,25.2531,33.7255,30.4472,1033.24,11.7739,
1770840956.4869068,77,RUN,25.2564,33.5199,30.4177,1058.49,12.2563,
1770840956.5888772,78,RUN,25.2592,33.9191,30.3812,1006.16,11.3974,
1770840956.6905375,79,RUN,25.2620,34.0393,30.3731,921.17,11.1856,
1770840956.7933376,80,RUN,25.2644,34.3599,30.3293,913.62,10.4825,
1770840956.895198,81,RUN,25.2668,34.5563,30.2559,1083.96,9.9675,
1770840956.996747,82,RUN,25.2697,34.0192,30.2011,1230.92,11.1296,
1770840957.098673,83,RUN,25.2726,33.9791,30.1425,1201.46,11.2662,
1770840957.2008052,84,RUN,25.2755,34.0372,30.2289,1122.51,11.1681,
1770840957.3030646,85,RUN,25.2783,34.0846,30.2678,1157.29,11.0176,
1770840957.4044688,86,RUN,25.2810,34.1611,30.2611,1047.30,10.9223,
1770840957.5059955,87,RUN,25.2836,34.2574,30.2478,1065.87,10.7002,
1770840957.6089904,88,RUN,25.2863,34.2021,30.2714,1146.89,10.7624,
1770840957.71002,89,RUN,25.2890,34.1976,30.2889,1151.14,10.7624,
1770840957.8119917,90,RUN,25.2918,34.2192,30.2529,1176.46,10.7235,
1770840957.913355,91,RUN,25.2946,34.0996,30.3575,1302.33,10.8778,
1770840958.0158138,92,RUN,25.2976,33.9202,30.3194,1213.34,11.3543,
1770840958.1181736,93,RUN,25.3003,34.2091,30.3325,1251.75,10.6565,
1770840958.2204924,94,RUN,25.3029,34.4064,30.3789,1288.10,10.2123,
1770840958.3225076,95,RUN,25.3056,34.3957,30.3553,1309.20,10.2333,
1770840958.4232569,96,RUN,25.3081,34.4404,30.3407,1300.92,10.1325,
1770840958.5261347,97,RUN,25.3105,34.7708,30.3483,1418.64,9.1058,
1770840958.6281521,98,RUN,25.3129,34.7508,30.3365,1432.76,9.2242,
1770840958.7300048,99,RUN,25.3152,34.7049,30.3179,1292.22,9.3554,
1770840958.8320794,100,RUN,25.3176,34.5258,30.4042,1169.51,9.7009,
1770840958.9330454,101,RUN,25.3198,34.6549,30.3878,1164.61,9.2798,
1770840959.035815,102,RUN,25.3221,34.6227,30.3711,1268.61,9.5129,
1770840959.1372983,103,RUN,25.3246,34.5287,30.4577,1362.80,9.6885,
1770840959.239104,104,RUN,25.3273,34.3810,30.5449,1397.92,10.0197,
1770840959.341115,105,RUN,25.3298,34.4716,30.5301,1403.25,9.7407,
1770840959.442904,106,RUN,25.3324,34.3338,30.5796,1308.98,10.0537,
1770840959.5445585,107,RUN,25.3351,34.2761,30.5700,1402.68,10.3540,
1770840959.6464994,108,RUN,25.3377,34.3951,30.6611,1461.14,9.7252,
1770840959.747378,109,RUN,25.3401,34.4399,30.6577,1367.38,9.5179,
1770840959.8492012,110,RUN,25.3425,34.4723,30.7333,1418.39,9.2383,
